Subject,Topic,SubTopic,Question,Answer,Done,ReviewLater,Duplicate,LessImportant,Starred,Order,SubjectOrder,TopicOrder,SubTopicOrder,SrsDue,SrsStreak
High Yield,CORE JAVA,Garbage Collection & Memory Management,What is memory leaks & when does it occur,,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,What is OutOfMemoryError & when does it occur,,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,Heap Dump vs Thread Dump,,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,"Have you used any JVM dump / monitoring tools? (JVisualVM, JConsole, Eclipse MAT, JMC)",,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,"How will you troubleshoot OutOfMemoryError in production (Heap Dump, Thread Dump, GC Logs, Tools)",,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,Have you done JVM tuning in real time?,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,Exception Diagram (Throwable hierarchy),,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,Exception vs Error vs Throwable,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,Checked vs Unchecked Exception,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,FileNotFoundException type,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,try_catch_finally flow,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,Multi-catch (Handling multiple types),,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,Order of exception hierarchy and catch order,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,Return in try vs finally,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,Can we stop finally block from executing?,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,Exception propagation (Delegating to caller),,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,Stack unwinding,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,throw vs throws,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,Chained exceptions,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,Suppressed exceptions,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,Try-with-resources,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,Custom exceptions (Exception vs RuntimeException),,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,Exception handling with method overriding,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,StackOverflowError vs OutOfMemoryError,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,ConcurrentModificationException,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,Design patterns in exception handling,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,Exception handling best practices,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,How to handle custom exceptions in Spring Boot,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,@ExceptionHandler vs @ControllerAdvice,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,Transaction rollback and exceptions,,,,,,,,,,,,
High Yield,CORE JAVA,Error & Exception,Exception handling in CompletableFuture,,,,,,,,,,,,
High Yield,CORE JAVA,Keywords & Modifiers,Why no pointers in Java,,,,,,,,,,,,
High Yield,CORE JAVA,Keywords & Modifiers,Call by Value vs Call by Reference in Java,,,,,,,,,,,,
High Yield,CORE JAVA,Keywords & Modifiers,Can we overload main method in Java?,,,,,,,,,,,,
High Yield,CORE JAVA,Keywords & Modifiers,"Access & Control Modifiers: private, static, final (variable, method, class)",,,,,,,,,,,,
High Yield,CORE JAVA,Keywords & Modifiers,"static - block, import, nested class",,,,,,,,,,,,
High Yield,CORE JAVA,Keywords & Modifiers,default methods (Interface evolution),,,,,,,,,,,,
High Yield,CORE JAVA,Keywords & Modifiers,synchronized,,,,,,,,,,,,
High Yield,CORE JAVA,Keywords & Modifiers,volatile,,,,,,,,,,,,
High Yield,CORE JAVA,Keywords & Modifiers,transient,,,,,,,,,,,,
High Yield,CORE JAVA,Keywords & Modifiers,Final vs Finally vs Finalize,,,,,,,,,,,,
High Yield,CORE JAVA,Keywords & Modifiers,When finalize method is called,,,,,,,,,,,,
High Yield,CORE JAVA,Strings,Ways to create Strings in Java (Literals vs new String()),,,,,,,,,,,,
High Yield,CORE JAVA,Strings,"String s1=""abc"" vs String s2=new String(""abc""): Object creation & memory locations",,,,,,,,,,,,
High Yield,CORE JAVA,Strings,Stack vs Heap memory in Java,,,,,,,,,,,,
High Yield,CORE JAVA,Strings,String Pool & memory layout,,,,,,,,,,,,
High Yield,CORE JAVA,Strings,intern() method and String interning,,,,,,,,,,,,
High Yield,CORE JAVA,Strings,Immutability concepts: What is an immutable class?,,,,,,,,,,,,
High Yield,CORE JAVA,Strings,Why String is immutable,,,,,,,,,,,,
High Yield,CORE JAVA,Strings,Why String is final,,,,,,,,,,,,
High Yield,CORE JAVA,Strings,String hashCode caching & HashMap with String keys,,,,,,,,,,,,
High Yield,CORE JAVA,Strings,Password handling: String vs char[] (Security & memory considerations),,,,,,,,,,,,
High Yield,CORE JAVA,Strings,Object equality: == vs equals() vs compareTo(),,,,,,,,,,,,
High Yield,CORE JAVA,Strings,Things to consider when overriding/using equals() & hashCode(),,,,,,,,,,,,
High Yield,CORE JAVA,Strings,"String utility methods & common operations (replace vs replaceAll, getBytes vs toCharArray)",,,,,,,,,,,,
High Yield,CORE JAVA,Strings,split vs splice vs StringTokenizer,,,,,,,,,,,,
High Yield,CORE JAVA,Strings,String concatenation internals: Compile-time vs runtime concatenation,,,,,,,,,,,,
High Yield,CORE JAVA,Strings,Why excessive String concatenation hurts performance,,,,,,,,,,,,
High Yield,CORE JAVA,Strings,"String vs StringBuilder vs StringBuffer (Mutable vs Immutable, Thread safety)",,,,,,,,,,,,
High Yield,CORE JAVA,Strings,"Creating custom immutable classes & handling mutability (Getter/Setter rules, defensive copying)",,,,,,,,,,,,
High Yield,CORE JAVA,Strings,Can we have an immutable constructor?,,,,,,,,,,,,
High Yield,CORE JAVA,Strings,substring() changes across Java versions,,,,,,,,,,,,
High Yield,CORE JAVA,Strings,Compact Strings (Java 9+),,,,,,,,,,,,
High Yield,CORE JAVA,Strings,G1 String Deduplication,,,,,,,,,,,,
High Yield,CORE JAVA,Strings,Reverse String / Palindrome / Anagram (Coding problems),,,,,,,,,,,,
High Yield,CORE JAVA,Strings,Split CSV string using Stream API and print (Coding problem),,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,What are Collections? (Java Collections Framework vs java.util vs Collections utility class),,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,Collections Hierarchy & Collection Diagram,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,List vs Set vs Map vs Queue,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,Decision Flowchart: How to select the right Collection for real-world scenarios,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,Time Complexities of common collection operations,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,Difference between Array and Collection,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,Difference between Set and List,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,"ArrayList vs LinkedList (Internal workings, differences, and trade-offs)",,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,"Default capacities: List (10), Map (16 buckets), Set (16 via internal HashMap)",,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,Creating a custom ArrayList to disallow duplicates,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,How to remove duplicates from a List without using a Set,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,HashSet internal working,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,HashMap vs HashSet (Difference and internal reliance),,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,Which one is faster: Set or HashMap? (Performance comparison & internal explanation),,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,Tricky: How Set allows duplicate custom objects if equals() and hashCode() are not overridden,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,equals() vs hashCode() contract & hashing basics,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,What is a Hash Collision & Collision resolution techniques,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,"HashMap internal working (DSA basics, indexing, load factor, resizing, treeification)",,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,Common HashMap methods (including checking if a HashMap contains a specific value),,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,HashMap vs LinkedHashMap vs TreeMap,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,Understanding TreeMap in Java and Red-Black Trees,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,HashMap vs Hashtable (Differences & internal working),,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,Is HashMap thread-safe?,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,Synchronized collections vs Concurrent collections,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,"ConcurrentHashMap: Internal locking mechanism, null key/value restrictions, and why it is preferred over Hashtable",,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,ArrayDeque vs Stack (Why ArrayDeque is preferred over Legacy Stack),,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,PriorityQueue (Heap-based ordering & internal working),,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,Iterator vs ListIterator vs Enumeration,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,Fail-Fast vs Fail-Safe Iterators in Java,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,Objects ordering: Comparable vs Comparator,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,compareTo() method usage and implementation,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,"Sorting objects based on attributes (e.g., ID, Name) using Comparable and Comparator",,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,Creating custom Comparators using lambda expressions & utility methods,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,Collections class static utility methods,,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,"Immutable vs Unmodifiable collections (e.g., List.of() vs Collections.unmodifiableList())",,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,"Collections vs Streams (Differences, performance, and memory usage)",,,,,,,,,,,,
High Yield,CORE JAVA,Collection Framework,Working with Streams on Collections,,,,,,,,,,,,
High Yield,CORE JAVA,Java 8,Lambda Expressions,,,,,,,,,,,,
High Yield,CORE JAVA,Java 8,Stream API,,,,,,,,,,,,
High Yield,CORE JAVA,Java 8,Functional Interfaces,,,,,,,,,,,,
High Yield,CORE JAVA,Java 8,Method References,,,,,,,,,,,,
High Yield,CORE JAVA,Java 8,Default and Static Methods,,,,,,,,,,,,
High Yield,CORE JAVA,Java 8,Optional Class,,,,,,,,,,,,
High Yield,CORE JAVA,Java 8,New Date and Time API,,,,,,,,,,,,
High Yield,CORE JAVA,Java 8,Base64 Encoding and Decoding,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",Sealed Classes and Interfaces,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",Records,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",Pattern Matching for `instanceof`,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",Switch Expressions,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",Text Blocks,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",Helpful NullPointerExceptions,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",Virtual Threads,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",Pattern Matching for `switch`,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",Record Patterns,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",Sequenced Collections Framework,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",Generational ZGC,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",UTF-8 by Default,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",Unnamed Variables and Patterns,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",Stream Gatherers,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",Compact Object Headers,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",Foreign Function and Memory API,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",Scoped Values,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",Markdown Documentation Comments,,,,,,,,,,,,
High Yield,CORE JAVA,"Java 17, 21, 25",Implicitly Declared Classes and Instance Main Methods,,,,,,,,,,,,
High Yield,CORE JAVA,Multithreading Fundamentals & Concepts,What is Multithreading & Concurrency?,,,,,,,,,,,,
High Yield,CORE JAVA,Multithreading Fundamentals & Concepts,What is the need for threads in Java?,,,,,,,,,,,,
High Yield,CORE JAVA,Multithreading Fundamentals & Concepts,Process vs Thread (Process-based vs Thread-based Multitasking),,,,,,,,,,,,
High Yield,CORE JAVA,Multithreading Fundamentals & Concepts,Concurrency vs Parallelism,,,,,,,,,,,,
High Yield,CORE JAVA,Thread Creation & Execution,"Ways to create a thread: Thread class, Runnable interface, Callable interface",,,,,,,,,,,,
High Yield,CORE JAVA,Thread Creation & Execution,Create a thread using Thread,,,,,,,,,,,,
High Yield,CORE JAVA,Thread Creation & Execution,Create a thread using Runnable,,,,,,,,,,,,
High Yield,CORE JAVA,Thread Creation & Execution,Create a thread using Callable,,,,,,,,,,,,
High Yield,CORE JAVA,Thread Creation & Execution,How to run a thread: start() vs run(),,,,,,,,,,,,
High Yield,CORE JAVA,Thread Creation & Execution,What happens when calling start() twice on the same thread?,,,,,,,,,,,,
High Yield,CORE JAVA,Thread Creation & Execution,Runnable vs Callable,,,,,,,,,,,,
High Yield,CORE JAVA,Thread Lifecycle & Control Methods,Thread Lifecycle & States (Thread.State),,,,,,,,,,,,
High Yield,CORE JAVA,Thread Lifecycle & Control Methods,Thread Priority & Thread Naming,,,,,,,,,,,,
High Yield,CORE JAVA,Thread Lifecycle & Control Methods,Daemon Threads,,,,,,,,,,,,
High Yield,CORE JAVA,Thread Lifecycle & Control Methods,"Basic Thread Methods: sleep(), join(), yield()",,,,,,,,,,,,
High Yield,CORE JAVA,Synchronization & Inter-Thread Communication,What is Synchronization?,,,,,,,,,,,,
High Yield,CORE JAVA,Synchronization & Inter-Thread Communication,"Synchronization levels: Method level, Block level, Static vs Instance methods",,,,,,,,,,,,
High Yield,CORE JAVA,Synchronization & Inter-Thread Communication,Object-level locking vs Class-level locking,,,,,,,,,,,,
High Yield,CORE JAVA,Synchronization & Inter-Thread Communication,"Inter-Thread Communication: wait(), notify(), notifyAll()",,,,,,,,,,,,
High Yield,CORE JAVA,Synchronization & Inter-Thread Communication,sleep() vs wait(),,,,,,,,,,,,
High Yield,CORE JAVA,Synchronization & Inter-Thread Communication,What is a Deadlock?,,,,,,,,,,,,
High Yield,CORE JAVA,Synchronization & Inter-Thread Communication,Deadlock example & How to resolve/prevent deadlock,,,,,,,,,,,,
High Yield,CORE JAVA,Memory Model & Low-Level Concurrency,volatile keyword,,,,,,,,,,,,
High Yield,CORE JAVA,Memory Model & Low-Level Concurrency,volatile vs synchronized,,,,,,,,,,,,
High Yield,CORE JAVA,Memory Model & Low-Level Concurrency,Lock-free Programming & CAS (Compare-And-Swap),,,,,,,,,,,,
High Yield,CORE JAVA,Memory Model & Low-Level Concurrency,AtomicInteger vs volatile,,,,,,,,,,,,
High Yield,CORE JAVA,Memory Model & Low-Level Concurrency,AtomicInteger vs Synchronization,,,,,,,,,,,,
High Yield,CORE JAVA,Memory Model & Low-Level Concurrency,Optimistic vs Pessimistic Locking,,,,,,,,,,,,
High Yield,CORE JAVA,Concurrency Utilities & Locking Framework,High-Level Concurrency Utilities (java.util.concurrent),,,,,,,,,,,,
High Yield,CORE JAVA,Concurrency Utilities & Locking Framework,Explicit Locks: synchronized vs Lock / ReentrantLock,,,,,,,,,,,,
High Yield,CORE JAVA,Concurrency Utilities & Locking Framework,Concurrent Collections: ConcurrentHashMap,,,,,,,,,,,,
High Yield,CORE JAVA,Concurrency Utilities & Locking Framework,"Synchronization Helpers: CountDownLatch, Semaphore",,,,,,,,,,,,
High Yield,CORE JAVA,Thread Pools & Asynchronous Execution,Thread Pools & Executor Framework,,,,,,,,,,,,
High Yield,CORE JAVA,Thread Pools & Asynchronous Execution,Why ExecutorService over raw threads?,,,,,,,,,,,,
High Yield,CORE JAVA,Thread Pools & Asynchronous Execution,ExecutorService & Ways to create Executor Services,,,,,,,,,,,,
High Yield,CORE JAVA,Thread Pools & Asynchronous Execution,"How to check task completion: Callable, Future & Future.isDone()",,,,,,,,,,,,
High Yield,CORE JAVA,Thread Pools & Asynchronous Execution,ThreadPoolExecutor vs ForkJoinPool,,,,,,,,,,,,
High Yield,CORE JAVA,Thread Pools & Asynchronous Execution,ExecutorService vs ForkJoin Framework,,,,,,,,,,,,
High Yield,CORE JAVA,Thread Pools & Asynchronous Execution,Parallel Streams,,,,,,,,,,,,
High Yield,CORE JAVA,Thread Pools & Asynchronous Execution,Asynchronous Programming: CompletableFuture,,,,,,,,,,,,
High Yield,CORE JAVA,Concurrency Trade-Offs & Best Practices,When to use synchronized vs Lock vs AtomicInteger vs volatile,,,,,,,,,,,,
High Yield,CORE JAVA,Concurrency Trade-Offs & Best Practices,"Trade-offs in Java Concurrency (synchronized vs Lock, wait/notify vs BlockingQueue, etc.)",,,,,,,,,,,,
High Yield,CORE JAVA,Concurrency Trade-Offs & Best Practices,How to prevent Race Conditions in production,,,,,,,,,,,,
High Yield,CORE JAVA,Practical Coding & Design Challenges,Design a Thread-Safe Singleton,,,,,,,,,,,,
High Yield,CORE JAVA,Practical Coding & Design Challenges,Print Odd-Even using two threads,,,,,,,,,,,,
High Yield,CORE JAVA,Practical Coding & Design Challenges,Print 1 to 100 using three threads,,,,,,,,,,,,
High Yield,CORE JAVA,Practical Coding & Design Challenges,Design Producer-Consumer Pattern,,,,,,,,,,,,
High Yield,CORE JAVA,Practical Coding & Design Challenges,ReentrantLock example,,,,,,,,,,,,
High Yield,CORE JAVA,Practical Coding & Design Challenges,ExecutorService example,,,,,,,,,,,,
High Yield,CORE JAVA,Practical Coding & Design Challenges,CountDownLatch example,,,,,,,,,,,,
High Yield,CORE JAVA,Practical Coding & Design Challenges,Semaphore example,,,,,,,,,,,,
High Yield,CORE JAVA,Practical Coding & Design Challenges,CompletableFuture example,,,,,,,,,,,,
High Yield,CORE JAVA,Practical Coding & Design Challenges,ConcurrentHashMap example,,,,,,,,,,,,
High Yield,CORE JAVA,Practical Coding & Design Challenges,Design a Thread-Safe Cache,,,,,,,,,,,,
High Yield,CORE JAVA,Practical Coding & Design Challenges,Design a Connection Pool,,,,,,,,,,,,
High Yield,CORE JAVA,Practical Coding & Design Challenges,Explain a Multithreading issue solved in production,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,Java I/O Architecture Overview,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,I/O Inheritance Hierarchy Diagram,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,Stream Classifications Based on Data Type,,,,,,,,,,,,
