Subject,Topic,Question,Answer
SPRING ECOSYSTEM,JPA & Hibernate,**orphanRemoval vs cascadeType.REMOVE. Difference?**,
SPRING ECOSYSTEM,JPA & Hibernate,**Session cache vs L2 cache. What's cached? Performance gain?**,
SPRING ECOSYSTEM,JPA & Hibernate,**@Transactional rollback behavior. Checked vs Unchecked exceptions?**,
SPRING ECOSYSTEM,JPA & Hibernate,**Hibernate proxy objects. Why LazyInitializationException occurs?**,
SPRING ECOSYSTEM,JPA & Hibernate,**@Query with native SQL vs JPQL. When each?**,
SPRING ECOSYSTEM,JPA & Hibernate,**Criteria API vs QueryDSL vs JPA. Performance difference?**,
SPRING ECOSYSTEM,JPA & Hibernate,**Optimistic locking vs Pessimistic locking. @Version behavior?**,
SPRING ECOSYSTEM,JPA & Hibernate,**Hibernate dialect. Why needed? Custom implementation?**,
SPRING ECOSYSTEM,Spring Data JPA,**@Repository vs @Service. Separation of concerns?**,
SPRING ECOSYSTEM,Spring Data JPA,**CrudRepository vs JpaRepository vs PagingAndSortingRepository?**,
SPRING ECOSYSTEM,Spring Data JPA,**Custom repository implementation. How to add business logic to repo layer?**,
SPRING ECOSYSTEM,Spring Data JPA,**@Query derivation. Complex queries—when override?**,
SPRING ECOSYSTEM,Spring Data JPA,**Projections in Spring Data. Performance benefit?**,
SPRING ECOSYSTEM,Spring Data JPA,**Specifications for dynamic queries. Real-world use case?**,
SPRING ECOSYSTEM,Spring Data JPA,**Batch operations in Spring Data. Performance vs single inserts?**,
SPRING ECOSYSTEM,Spring Data JPA,"**Auditing with @CreatedBy, @LastModifiedDate. How it works?**",
SPRING ECOSYSTEM,Spring Data MongoDB,**Document storage vs Relational. When MongoDB over SQL?**,
SPRING ECOSYSTEM,Spring Data MongoDB,**@Document vs @Collection. Difference?**,
SPRING ECOSYSTEM,Spring Data MongoDB,**MongoTemplate vs MongoRepository. When each?**,
SPRING ECOSYSTEM,Spring Data MongoDB,**Aggregation pipeline in Spring Data. Performance?**,
SPRING ECOSYSTEM,Spring Data MongoDB,**Indexing in MongoDB. Performance tuning?**,
SPRING ECOSYSTEM,Spring Boot,**Spring Boot auto-configuration. How does it work? @EnableAutoConfiguration?**,
SPRING ECOSYSTEM,Spring Boot,**application.properties vs application.yml. Precedence?**,
SPRING ECOSYSTEM,Spring Boot,**Embedded server (Tomcat/Netty). Pros vs standalone WAR?**,
SPRING ECOSYSTEM,Spring Boot,"**Actuator endpoints. Security implications? /health, /metrics usage?**",
SPRING ECOSYSTEM,Spring Boot,**Custom Actuator endpoints. How to create?**,
SPRING ECOSYSTEM,Spring Boot,**Starter dependencies. What's under the hood?**,
SPRING ECOSYSTEM,Spring Boot,**Profile-specific configuration. application-{profile}.properties logic?**,
SPRING ECOSYSTEM,Spring Boot,"**Conditional beans: @ConditionalOnProperty, @ConditionalOnClass. Real use case?**",
SPRING ECOSYSTEM,Spring Boot,**CommandLineRunner vs ApplicationRunner. Startup logic?**,
SPRING ECOSYSTEM,Spring Boot,**Spring Boot testing: @SpringBootTest vs @WebMvcTest vs @DataJpaTest?**,
SPRING ECOSYSTEM,Spring Security,**Authentication vs Authorization. Spring Security architecture?**,
SPRING ECOSYSTEM,Spring Security,**SecurityContextHolder & Authentication object. When populated?**,
SPRING ECOSYSTEM,Spring Security,**UserDetailsService vs UserDetails. Custom implementation?**,
SPRING ECOSYSTEM,Spring Security,**PasswordEncoder. Why BCrypt? Salting mechanism?**,
SPRING ECOSYSTEM,Spring Security,**OAuth2 flow: Authorization Code vs Client Credentials vs Implicit. When each?**,
SPRING ECOSYSTEM,Spring Security,**JWT vs Session-based authentication. Trade-offs?**,
SPRING ECOSYSTEM,Spring Security,**CSRF protection mechanism. How does Spring prevent it?**,
SPRING ECOSYSTEM,Spring Security,**CORS in Spring Security. Configuration precedence?**,
SPRING ECOSYSTEM,Spring Security,**SecurityFilterChain order. Custom filters—where to add?**,
SPRING ECOSYSTEM,Spring Security,**@PreAuthorize vs @Secured vs @RolesAllowed. Difference?**,
SPRING ECOSYSTEM,Spring Security,**Method-level security. How AOP implements it?**,
SPRING ECOSYSTEM,Spring Security,**OAuth2 resource server. Token validation flow?**,
SPRING ECOSYSTEM,Spring Security,**Refresh token rotation. Expiry strategy?**,
SPRING ECOSYSTEM,Spring Security,**HttpSession vs JWT in distributed systems. Sticky sessions?**,
SPRING ECOSYSTEM,AOP,"**Aspects, Joinpoints, Pointcuts, Advice. Terminology?**",
SPRING ECOSYSTEM,AOP,**@Aspect vs XML configuration. Which preferred?**,
SPRING ECOSYSTEM,AOP,"**Advice types: @Before, @After, @Around, @AfterReturning, @AfterThrowing. When each?**",
SPRING ECOSYSTEM,AOP,**Pointcut expressions. Complex matching scenarios?**,
SPRING ECOSYSTEM,AOP,**Proxy creation: JDK dynamic vs CGLIB. When each?**,
SPRING ECOSYSTEM,AOP,**Weaving: compile-time vs load-time vs runtime. Spring uses which?**,
SPRING ECOSYSTEM,AOP,**AOP performance cost. Optimizations?**,
SPRING ECOSYSTEM,Transactions,**@Transactional on class vs method. Inheritance behavior?**,
SPRING ECOSYSTEM,Transactions,**Propagation levels: REQUIRED vs REQUIRES_NEW vs NESTED. Real scenarios?**,
SPRING ECOSYSTEM,Transactions,**Isolation levels: READ_UNCOMMITTED vs READ_COMMITTED vs REPEATABLE_READ vs SERIALIZABLE?**,
SPRING ECOSYSTEM,Transactions,**TransactionManager vs PlatformTransactionManager. Abstraction?**,
SPRING ECOSYSTEM,Transactions,**Declarative vs Programmatic transactions. Trade-offs?**,
SPRING ECOSYSTEM,Transactions,**@Transactional(readOnly=true) optimization?**,
SPRING ECOSYSTEM,Transactions,**Distributed transactions: Two-phase commit? Saga pattern?**,
SPRING ECOSYSTEM,Transactions,**Transaction boundary problems. Service layer placement?**,
SPRING ECOSYSTEM,Transactions,**Rollback behavior: when does it happen? Custom rules?**,
SPRING ECOSYSTEM,Service Discovery & Load Balancing,**Eureka server vs client. Registration flow?**,
SPRING ECOSYSTEM,Service Discovery & Load Balancing,**Service discovery in production. Heartbeat & eviction?**,
SPRING ECOSYSTEM,Service Discovery & Load Balancing,**Client-side vs Server-side load balancing. Spring implementation?**,
SPRING ECOSYSTEM,Service Discovery & Load Balancing,**Ribbon & LoadBalancer. Difference? Latest recommendation?**,
SPRING ECOSYSTEM,Service Discovery & Load Balancing,**Service registration & discovery challenges. Consistency issues?**,
SPRING ECOSYSTEM,API Gateway & Routing,**Spring Cloud Gateway vs Zuul. Difference? Why Gateway now?**,
SPRING ECOSYSTEM,API Gateway & Routing,**Route predicates vs filters. When each?**,
SPRING ECOSYSTEM,API Gateway & Routing,**Rate limiting & throttling at gateway. Algorithms?**,
SPRING ECOSYSTEM,API Gateway & Routing,**Path rewriting. Configuration?**,
SPRING ECOSYSTEM,API Gateway & Routing,**Global exception handling in gateway. Propagation to clients?**,
SPRING ECOSYSTEM,Config Management,**Spring Cloud Config Server. Centralized configuration management?**,
SPRING ECOSYSTEM,Config Management,**Profile-specific config resolution. Precedence rules?**,
SPRING ECOSYSTEM,Config Management,**Config refresh: @RefreshScope vs manual restart?**,
SPRING ECOSYSTEM,Config Management,**Encryption in config server. Production security?**,
SPRING ECOSYSTEM,Config Management,**Config versioning & rollback strategy?**,
SPRING ECOSYSTEM,Circuit Breaker & Resilience,**Circuit breaker states: CLOSED vs OPEN vs HALF_OPEN. Transitions?**,
SPRING ECOSYSTEM,Circuit Breaker & Resilience,**Resilience4j vs Spring Retry. When each?**,
SPRING ECOSYSTEM,Circuit Breaker & Resilience,**@CircuitBreaker behavior. Fallback mechanism?**,
SPRING ECOSYSTEM,Circuit Breaker & Resilience,**Bulkhead pattern. Thread pool isolation?**,
SPRING ECOSYSTEM,Circuit Breaker & Resilience,**Timeout configuration. Integration with circuit breaker?**,
SPRING ECOSYSTEM,Circuit Breaker & Resilience,"**Retry strategies: exponential backoff, jitter. Configuration?**",
SPRING ECOSYSTEM,Distributed Tracing,**Spring Cloud Sleuth + Zipkin. Trace propagation?**,
SPRING ECOSYSTEM,Distributed Tracing,**Trace ID vs Span ID. Correlation across services?**,
SPRING ECOSYSTEM,Distributed Tracing,**Baggage propagation. Custom fields?**,
SPRING ECOSYSTEM,Distributed Tracing,**Sampling strategy. Performance implications?**,
SPRING ECOSYSTEM,Event-Driven Architecture,**Spring Cloud Stream. Message binding abstraction?**,
SPRING ECOSYSTEM,Event-Driven Architecture,**Kafka vs RabbitMQ bindings. When each?**,
SPRING ECOSYSTEM,Event-Driven Architecture,**Consumer groups in Stream. Scalability?**,
SPRING ECOSYSTEM,Event-Driven Architecture,**Dead-letter queue handling?**,
SPRING ECOSYSTEM,Event-Driven Architecture,**Error handling in async messaging. Retry vs DLQ?**,
SPRING ECOSYSTEM,Spring Testing,**@SpringBootTest vs @WebMvcTest vs @DataJpaTest vs @RestClientTest?**,
SPRING ECOSYSTEM,Spring Testing,**MockMvc for testing controllers. Request building & assertions?**,
SPRING ECOSYSTEM,Spring Testing,**@MockBean vs @SpyBean. Difference?**,
SPRING ECOSYSTEM,Spring Testing,**TestContainers for integration testing. Database setup?**,
SPRING ECOSYSTEM,Spring Testing,**@DirtiesContext. When use? Performance implication?**,
SPRING ECOSYSTEM,Spring Testing,**Parameterized tests with @ParameterizedTest.**,
SPRING ECOSYSTEM,Spring Testing,**Test transaction behavior. Rollback after test?**,
SPRING ECOSYSTEM,Spring Testing,**Performance testing framework integration?**,
SPRING ECOSYSTEM,Spring Validation & Data,**@Valid vs @Validated. Difference?**,
SPRING ECOSYSTEM,Spring Validation & Data,**Custom validators. ConstraintValidator implementation?**,
SPRING ECOSYSTEM,Spring Validation & Data,**Validation groups. Conditional validation scenarios?**,
SPRING ECOSYSTEM,Spring Validation & Data,**@RequestParam binding. Type conversion & validation?**,
SPRING ECOSYSTEM,Spring Validation & Data,**Error handling in validation. BindingResult usage?**,
SPRING ECOSYSTEM,Spring Batch,"**Job vs Step architecture. ItemReader, ItemProcessor, ItemWriter?**",
SPRING ECOSYSTEM,Spring Batch,**Chunk-oriented vs Tasklet processing. When each?**,
SPRING ECOSYSTEM,Spring Batch,**JobRepository & Execution context. State management?**,
SPRING ECOSYSTEM,Spring Batch,**Job scheduling with Spring Batch. Triggers?**,
SPRING ECOSYSTEM,Spring Batch,**Error handling & recovery. Skip & retry policies?**,
SPRING ECOSYSTEM,Spring Batch,"**Scalability: parallel steps, multi-threaded steps?**",
SPRING ECOSYSTEM,Spring Batch,**Job launcher. Restart behavior & idempotency?**,
SPRING ECOSYSTEM,Spring Integration,**Integration with external systems. Message channels?**,
SPRING ECOSYSTEM,Spring Integration,**Adapters vs Transformers vs Filters. Roles?**,
SPRING ECOSYSTEM,Spring Integration,**Error handling in integration flows. Backoff strategy?**,
SPRING ECOSYSTEM,Spring Integration,**Polling vs event-driven consumers?**,
SPRING ECOSYSTEM,Spring Kafka,**KafkaTemplate for producer. Synchronous vs asynchronous sending?**,
SPRING ECOSYSTEM,Spring Kafka,**@KafkaListener for consumers. Consumer groups?**,
SPRING ECOSYSTEM,Spring Kafka,**Partition assignment. Scaling consumers?**,
SPRING ECOSYSTEM,Spring Kafka,**Rebalancing behavior. Seek & offset management?**,
SPRING ECOSYSTEM,Spring Kafka,**Error handling. DeadLetterPublishingRecoverer?**,
SPRING ECOSYSTEM,Spring Kafka,**Transaction semantics in Kafka. Exactly-once delivery?**,
SPRING ECOSYSTEM,Spring Kafka,**Compression & batching for performance?**,
SPRING ECOSYSTEM,Spring Data Redis,**RedisTemplate vs StringRedisTemplate. When each?**,
SPRING ECOSYSTEM,Spring Data Redis,"**Spring cache abstraction: @Cacheable, @CachePut, @CacheEvict?**",
SPRING ECOSYSTEM,Spring Data Redis,**Cache-aside vs write-through patterns?**,
SPRING ECOSYSTEM,Spring Data Redis,**Cache invalidation strategies. TTL configuration?**,
SPRING ECOSYSTEM,Spring Data Redis,**Redis serialization. Jackson vs Kryo?**,
SPRING ECOSYSTEM,Spring Data Redis,**Session storage in Redis. @EnableRedisHttpSession?**,
SPRING ECOSYSTEM,Spring Data Redis,**Distributed caching challenges. Cache consistency?**,
SPRING ECOSYSTEM,Spring Data Redis,**Redis Streams with Spring. Consumer groups?**,
SPRING ECOSYSTEM,Spring Data Redis,**Pub/Sub vs Streams. When each?**,
SPRING ECOSYSTEM,Spring WebFlux & Reactive,**Reactive vs Traditional MVC. When WebFlux?**,
SPRING ECOSYSTEM,Spring WebFlux & Reactive,**Mono vs Flux. Lazy subscription?**,
SPRING ECOSYSTEM,Spring WebFlux & Reactive,**Backpressure handling. Performance optimization?**,
SPRING ECOSYSTEM,Spring WebFlux & Reactive,**Netty vs Tomcat. Event loop model?**,
SPRING ECOSYSTEM,Spring WebFlux & Reactive,**Reactive repository vs blocking. Migration challenges?**,
SPRING ECOSYSTEM,Spring WebFlux & Reactive,"**Error handling in reactive chains. onError, onErrorResume?**",
SPRING ECOSYSTEM,Spring WebFlux & Reactive,"**Testing reactive code. StepVerifier, virtual time?**",
SPRING ECOSYSTEM,Spring WebFlux & Reactive,**Reactive transaction management. Challenges?**,
SPRING ECOSYSTEM,Spring WebFlux & Reactive,**Thread safety in reactive. Schedulers?**,
SPRING ECOSYSTEM,Microservices Patterns,**Service-to-service communication. REST vs gRPC vs message queue?**,
SPRING ECOSYSTEM,Microservices Patterns,**Circuit breaker integration. Fallback strategies?**,
SPRING ECOSYSTEM,Microservices Patterns,**Distributed tracing across services. Implementation?**,
SPRING ECOSYSTEM,Microservices Patterns,**API versioning in microservices. Strategy?**,
SPRING ECOSYSTEM,Microservices Patterns,**Saga pattern for distributed transactions. Choreography vs Orchestration?**,
SPRING ECOSYSTEM,Microservices Patterns,**Database per service pattern. Data consistency challenges?**,
SPRING ECOSYSTEM,Microservices Patterns,**API composition vs Query composition. Trade-offs?**,
SPRING ECOSYSTEM,Microservices Patterns,**Event sourcing & CQRS in Spring. Implementation?**,
SPRING ECOSYSTEM,Microservices Patterns,**Service mesh integration. Istio with Spring?**,
SPRING ECOSYSTEM,Spring Admin & Monitoring,**Spring Boot Admin dashboard. Monitoring real-time metrics?**,
SPRING ECOSYSTEM,Spring Admin & Monitoring,**Custom metrics with Micrometer. Publishing?**,
SPRING ECOSYSTEM,Spring Admin & Monitoring,**Health indicators. Custom implementation?**,
SPRING ECOSYSTEM,Spring Admin & Monitoring,**Alerting strategies. Thresholds & notifications?**,
SPRING ECOSYSTEM,Spring Admin & Monitoring,**Log aggregation. ELK stack integration?**,
SPRING ECOSYSTEM,Spring Admin & Monitoring,"**APM tools integration. Datadog, New Relic?**",
SPRING ECOSYSTEM,Production & Performance,**Connection pooling: HikariCP configuration. Size tuning?**,
SPRING ECOSYSTEM,Production & Performance,**Thread pool sizing for async operations. Rejection policies?**,
SPRING ECOSYSTEM,Production & Performance,**Caching strategy: local vs distributed. Eviction policies?**,
SPRING ECOSYSTEM,Production & Performance,**Database query optimization. Index usage? Explain plan?**,
SPRING ECOSYSTEM,Production & Performance,**Memory leak prevention in Spring apps. Common patterns?**,
SPRING ECOSYSTEM,Production & Performance,**Graceful shutdown. Context cleanup order?**,
SPRING ECOSYSTEM,Production & Performance,**Zero-downtime deployment. Blue-green vs canary?**,
SPRING ECOSYSTEM,Production & Performance,**Load balancing at application level. Sticky sessions?**,
SPRING ECOSYSTEM,Production & Performance,**Rate limiting & throttling. Token bucket algorithm?**,
SPRING ECOSYSTEM,Production & Performance,**Security at scale. OAuth2 token caching? Refresh strategies?**,
