Subject,Topic,Question,Answer
DBMS & SQL,JSON Handling,"**JSON functions: JSON_EXTRACT, JSON_SET, JSON_ARRAY_APPEND?**",
DBMS & SQL,JSON Handling,**JSON path syntax. Nested access?**,
DBMS & SQL,JSON Handling,**JSON indexing. Generated columns for performance?**,
DBMS & SQL,JSON Handling,**JSON vs Relational normalization. When JSON?**,
DBMS & SQL,JSON Handling,**JSON query performance optimization?**,
DBMS & SQL,Partitioning & Sharding,**Table partitioning. Range vs List vs Hash vs Key. Performance benefit?**,
DBMS & SQL,Partitioning & Sharding,**Partition pruning. Query optimization?**,
DBMS & SQL,Partitioning & Sharding,**Subpartitioning. Hierarchical partitioning?**,
DBMS & SQL,Partitioning & Sharding,**Maintenance operations on partitions. Backup?**,
DBMS & SQL,Partitioning & Sharding,**Horizontal sharding. Shard key selection?**,
DBMS & SQL,Partitioning & Sharding,**Shard-based query routing. Complexity?**,
DBMS & SQL,Partitioning & Sharding,**Hot shard problem. Mitigation?**,
DBMS & SQL,Partitioning & Sharding,**Cross-shard joins. Distributed query complexity?**,
DBMS & SQL,Partitioning & Sharding,**Shard rebalancing. Data migration?**,
